,names,Run Time,imdb_score,val,Writer,film
231,Con Air,"$75,000,000 (estimated)",6.9,296K,Scott Rosenberg,Classified Love
232,Wonder Woman 1984,"$200,000,000 (estimated)",5.4,257K,Patty Jenkins,Adelbert
233,Predestination,1 hour 37 minutes,7.4,279K,Peter Spierig,Nothing Better Than Parody 5
234,Indiana Jones and the Temple of Doom,"$28,000,000 (estimated)",7.5,480K,Willard Huyck,How Not to Win Eurovision
235,Avengers: Age of Ultron,"$250,000,000 (estimated)",7.3,839K,Joss Whedon,Umma
236,The School for Good and Evil,not-released,no-rating,0,Soman Chainani,Het geluk komt morgen
237,The Fighter,"$25,000,000 (estimated)",7.8,362K,Scott Silver,You Will Reap the Tempest
238,Kingsman: The Golden Circle,"$104,000,000 (estimated)",6.7,320K,Jane Goldman,El árbitro
239,Wonder Woman,"$149,000,000 (estimated)",7.4,642K,Allan Heinberg,BBC This World - China's Magic Weapon
240,Knowing,"$50,000,000 (estimated)",6.2,233K,Ryne Douglas Pearson,A Piece of Sky
241,Mortal Kombat,"$55,000,000 (estimated)",6.1,167K,Greg Russo,Suicide Commando - Axis Of Evil (Bonus DVD)
242,Zombieland,"$23,600,000 (estimated)",7.6,565K,Rhett Reese,Love Clinic
243,El Camino: A Breaking Bad Movie,2 hours 2 minutes,7.3,228K,Vince Gilligan,Dharti
244,The Magnificent Seven,2 hours 12 minutes,6.8,209K,Akira Kurosawa,Dew
245,The Other Guys,"$100,000,000 (estimated)",6.6,265K,Adam McKay,Villa Perversa
246,Transformers: Rise of the Beasts,not-released,no-rating,0,Joby Harold,The Magic Box
247,Hellboy,"$50,000,000 (estimated)",5.2,88K,Andrew Cosby,Oddities
248,The Maze Runner,"$34,000,000 (estimated)",6.8,457K,Noah Oppenheim,Rim My Twink Ass 7
249,Raya and the Last Dragon,1 hour 47 minutes,7.3,144K,Carlos López Estrada,Strange Dirty Story Peony Lantern
250,Men in Black,"$90,000,000 (estimated)",7.3,557K,Lowell Cunningham,Hot Sexy Plumpers 29
251,Shazam! Fury of the Gods,not-released,no-rating,0,Henry Gayden,Union
252,Midnight in the Switchgrass,1 hour 39 minutes,4.4,6.7K,Alan Horsnail,Yaari Dosti
253,Army of the Dead,"$70,000,000 (estimated)",5.7,168K,Zack Snyder,Then and Now: 1981-2004
254,Hitman's Wife's Bodyguard,1 hour 40 minutes,6.1,86K,Tom O'Connor,Illusionen
255,Scott Pilgrim vs. the World,"$60,000,000 (estimated)",7.5,418K,Michael Bacall,.hack//Versus: The Thanatos Report
256,Captain America: Civil War,"$250,000,000 (estimated)",7.8,760K,Joe Russo,Hootenanny Hoot
257,The Hitman's Bodyguard,"$30,000,000 (estimated)",6.9,227K,Tom O'Connor,Beach Volley Boys
258,The Predator,"$88,000,000 (estimated)",5.3,127K,Fred Dekker,Hallebardiers de la reine
259,Quantum of Solace,"$200,000,000 (estimated)",6.6,443K,Paul Haggis,Soreyuke Flippers! The Lost Pictures and Three Plus One
260,Days of Thunder,1 hour 47 minutes,6,88K,Robert Towne,Titus Family | Homecoming
261,Knight and Day,"$117,000,000 (estimated)",6.3,194K,Patrick O'Neill,Snakewoman
262,Taken,"$25,000,000 (estimated)",7.8,596K,Luc Besson,¡Quiero vivir mi vida!
263,The Mask,"$23,000,000 (estimated)",6.9,379K,Michael Fallon,Factory Complex
264,The Fugitive,"$44,000,000 (estimated)",7.8,290K,Jeb Stuart,Escape from Tarkov. Raid.
265,Thor: The Dark World,"$170,000,000 (estimated)",6.8,663K,Christopher L. Yost,Endless Tail
266,Gods of Egypt,2 hours 7 minutes,5.4,116K,Matt Sazama,Ziek gezond
267,Batgirl,not-released,no-rating,0,Bilall Fallah,Никогда
268,Rush,"$38,000,000 (estimated)",8.1,471K,Peter Morgan,My BFF
269,Extraction,"$65,000,000 (estimated)",6.7,194K,Joe Russo,Ruma Elsa
270,The Rock,"$75,000,000 (estimated)",7.4,335K,David Weisberg,贱男歼灭队
271,World War Z,"$190,000,000 (estimated)",7,652K,Matthew Michael Carnahan,Limelight
272,Battleship,"$209,000,000 (estimated)",5.8,247K,Jon Hoeber,La Oradora
273,K.G.F: Chapter 1,"$6,421,597",8.2,78K,Shivgopal Krishna,The Library
274,Attack,2 hours 1 minute,7,13K,John Abraham,Tatuapé Mahal Tower
275,Batman & Robin,"$125,000,000 (estimated)",3.7,251K,Bob Kane,Mania
276,The Tourist,"$100,000,000 (estimated)",6,241K,Florian Henckel von Donnersmarck,All Creampies 2
